n04524313	1505906	vehicle	a conveyance that transports people or objects
n02846399	1129068	"black_and_white,monochrome"	a black-and-white photograph or slide
n00017222	969081	"plant,flora,plant_life"	(botany) a living organism lacking the power of locomotion
n02743547	899946	"art,fine_art"	the products of human creativity; works of art collectively
n02958343	823541	"car,auto,automobile,machine,motorcar"	a motor vehicle with four wheels; usually propelled by an internal combustion engine
n11669921	723262	flower	a plant cultivated for its blooms or blossoms
n00903559	701865	"photography,picture_taking"	the act of taking and printing photographs
n00007846	645689	"person,individual,someone,somebody,mortal,soul"	a human being
n00523513	628893	"sport,athletics"	an active diversion requiring physical exertion and competition
n00021265	578598	"food,nutrient"	any substance that can be metabolized by an animal to give energy and build tissue
n13104059	571348	tree	a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
n04407435	495904	temple	place of worship consisting of an edifice for the worship of a deity
n08524735	491341	"city,metropolis,urban_center"	a large and densely populated urban area; may include several independent administrative districts
n07942152	463801	people	(plural) any group of human beings (men or women or children) collectively
n08806897	435075	"Rome,Roma,Eternal_City,Italian_capital,capital_of_Italy"	capital and largest city of Italy; on the Tiber; seat of the Roman Catholic Church; formerly the capital of the Roman Republic and the Roman Empire
n09426788	432137	sea	a division of an ocean or a large body of salt water partially enclosed by land
n00928077	427594	"design,designing"	the act of working out the form of something (as by making a sketch or outline or plan)
n01861778	391736	"mammal,mammalian"	any warm-blooded vertebrate having the skin more or less covered with hair; young are born alive except for the small subclass of monotremes and nourished with milk
n05064037	384355	"shape,form,configuration,contour,conformation"	any spatial attributes (especially as defined by outline)
n13152742	382878	"leaf,leafage,foliage"	the main organ of photosynthesis and transpiration in higher plants
n08436759	382273	"vegetation,flora,botany"	all the plant life in a particular region or period
n03049695	375032	closeup	a photograph taken at close range
n08585657	371337	"horizon,apparent_horizon,visible_horizon,sensible_horizon,skyline"	the line at which the sky and Earth appear to meet
n03931044	365091	"picture,image,icon,ikon"	a visual representation (of an object or scene or person or abstraction) produced on a surface
n00608645	353402	lighting	the craft of providing artificial light
n07705711	345694	"produce,green_goods,green_groceries,garden_truck"	fresh fruits and vegetable grown for the market
n02913152	345688	"building,edifice"	a structure that has a roof and walls and stands more or less permanently in one place
n04931965	344811	structure	the manner of construction of something and the arrangement of its parts
n03925226	344519	"photograph,photo,exposure,picture,pic"	a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material
n05064541	340274	topography	the configuration of a surface and the relations among its man-made and natural features
n03313333	340014	"facade,frontage,frontal"	the face or front of a building
n07993279	338649	"fauna,zoology"	all the animal life in a particular region or period
n11665372	335740	"angiosperm,flowering_plant"	plants having seeds in a closed ovary
n11473954	335234	"light,visible_light,visible_radiation"	(physics) electromagnetic radiation that can produce a visual sensation
n15098161	329275	wood	the hard fibrous lignified substance under the bark of trees
n03100490	325408	"conveyance,transport"	something that serves as a means of transportation
n09366762	322584	nature	the natural physical world including plants and animals and landscapes etc.
n08675967	308703	"urban_area,populated_area"	a geographical area constituting a city or town
n06066555	305162	"botany,phytology"	the branch of biology that studies plants
n07573696	300079	"meal,repast"	the food served and eaten at one time
n04956594	299566	"color,colour,coloring,colouring"	a visual attribute of things that results from the light they emit or transmit or reflect
n03365592	296928	"floor,flooring"	"the inside lower horizontal surface (as of a room, hallway, tent, or other structure)"
n04096066	293159	"road,route"	an open way (generally public) for travel or transportation
n04546855	292098	wall	an architectural partition with a height and length greater than its thickness; used to divide or enclose an area or to support another structure
n11503060	291295	"reflection,reflexion"	the phenomenon of a propagating wave (light or sound) being thrown back from a surface
n11485367	284058	"sunlight,sunshine,sun"	the rays of the sun
n13983515	283238	"dark,darkness"	absence of light or illumination
n04967191	281779	"green,greenness,viridity"	green color or pigment; resembling the color of growing grass
n09436708	281264	sky	the atmosphere and outer space as viewed from the earth
n09428293	279838	"seashore,coast,seacoast,sea-coast"	the shore of a sea or ocean
n08539072	277826	"business_district,downtown"	the central area or commercial center of a town or city
n04965661	274593	"yellow,yellowness"	yellow color or pigment; the chromatic color resembling the hue of sunflowers or ripe lemons
n08624891	274313	landmark	the position of a prominent or well-known object in a particular landscape
n04960277	274055	"black,blackness,inkiness"	the quality or state of the achromatic color of least lightness (bearing the least resemblance to white)
n09359803	269325	"mountain,mount"	a land mass that projects well above its surroundings; higher than a hill
n15166462	268800	"evening,eve,even,eventide"	the latter part of the day (the period of decreasing daylight from late afternoon until nightfall)
n07202391	264227	"portrayal,portraiture,portrait"	a word picture of a person's appearance and character
n06891022	264039	presentation	the act of making something publicly available; presenting news or other information by broadcasting or printing it
n06124864	263695	interior_design	the branch of architecture dealing with the selection and organization of furnishings for an architectural interior
